date,value
2016-46,9
2016-45,16
2016-44,10
2016-43,6
2016-42,9
2016-41,9
2016-40,12
2016-39,8
2016-38,4
2016-37,13
2016-36,8
2016-35,13
2016-34,5
2016-33,16
2016-32,9
2016-31,8
2016-30,21
2016-29,29
2016-28,26
2016-27,48
2016-26,17
2016-25,27
2016-24,20
2016-23,29
2016-22,15
2016-21,22
2016-20,37
2016-18,21
2016-17,26
2016-16,28
2016-15,33
2016-14,34
2016-13,30
2016-12,35
2016-11,35
2016-10,28
2016-9,48
2016-8,32
2016-7,46
2016-6,28
2016-5,46
2016-4,57
2016-3,54
2016-2,141
2016-1,127
2015-53,54
2015-52,196
2015-51,446
2015-49,12
2015-48,24
2015-47,20
2015-46,20
2015-45,13
2015-44,23
2015-43,14
2015-42,18
2015-41,18
2015-40,19
2015-39,15
2015-38,22
2015-37,6
2015-36,20
2015-35,20
2015-34,18
2015-33,24
2015-32,21
2015-31,29
2015-30,93
2015-29,102
2015-28,119
2015-27,351
